Home_Team,Away_Team,Result,Link,Season,Round,League,Number_Teams,Total_Rounds,Label,Goals_For_Home,Goals_For_Away,Position_Home,Points_Home,Total_Wins_Home,Total_Draw_Home,Total_Lose_Home,Total_Goals_For_Home_Team,Total_Goals_Against_Home_Team,Total_Streak_Home,Wins_When_Home,Draw_When_Home,Lose_When_Home,Goals_For_When_Home,Goals_Against_When_Home,Position_Away,Points_Away,Total_Wins_Away,Total_Draw_Away,Total_Lose_Away,Total_Goals_For_Away_Team,Total_Goals_Against_Away_Team,Total_Streak_Away,Wins_When_Away,Draw_When_Away,Lose_When_Away,Goals_For_When_Away,Goals_Against_When_Away,Streak_When_Home,Streak_When_Away,Elo_Home,Elo_Away
Stuttgart,Greuther Fürth,5-1,https://www.besoccer.com/match/stuttgart/greuther-furth/202215547,2022,9,bundesliga,18,11,0,5,1,5,24,8,0,0,40,8,9.0,8,0,0,40,8,18,0,0,0,8,8,40,0.0,0,0,8,8,40,9.0,0.0,,
FC Augsburg,Hoffenheim,0-4,https://www.besoccer.com/match/fc-augsburg/tsg-1899-hoffenheim/202215549,2022,9,bundesliga,18,11,2,0,4,17,0,0,0,8,0,32,0.0,0,0,8,0,32,3,24,8,0,0,32,0,9.0,8,0,0,32,0,0.0,9.0,,
Arminia Bielefeld,SC Freiburg,0-0,https://www.besoccer.com/match/arminia-bielefeld/sc-freiburg/202215550,2022,9,bundesliga,18,11,1,0,0,8,8,0,8,0,0,0,3.0,0,8,0,0,0,10,8,0,8,0,0,0,3.0,0,8,0,0,0,3.0,3.0,,
B. Dortmund,Eintracht Frankfurt,5-2,https://www.besoccer.com/match/borussia-dortmund/eintracht-frankfurt/202215544,2022,9,bundesliga,18,11,0,5,2,4,24,8,0,0,40,16,9.0,8,0,0,40,16,14,0,0,0,8,16,40,0.0,0,0,8,16,40,9.0,0.0,,
Mainz 05,RB Leipzig,1-0,https://www.besoccer.com/match/mainz-amat/rb-leipzig/202215548,2022,9,bundesliga,18,11,0,1,0,1,24,8,0,0,8,0,9.0,8,0,0,8,0,13,0,0,0,8,0,8,0.0,0,0,8,0,8,9.0,0.0,,
Köln,Hertha BSC,3-1,https://www.besoccer.com/match/1-fc-koln/hertha-bsc/202215551,2022,9,bundesliga,18,11,0,3,1,6,24,8,0,0,24,8,9.0,8,0,0,24,8,15,0,0,0,8,8,24,0.0,0,0,8,8,24,9.0,0.0,,
B. Mönchengladbach,Bayern München,1-1,https://www.besoccer.com/match/borussia-monchengla/bayern-munchen/202215543,2022,10,bundesliga,18,11,1,1,1,12,9,0,9,0,9,9,3.0,0,9,0,9,9,10,9,0,9,0,9,9,3.0,0,9,0,9,9,3.0,3.0,,
Wolfsburg,VfL Bochum,1-0,https://www.besoccer.com/match/wolfsburg/bochum/202215545,2022,10,bundesliga,18,11,0,1,0,2,27,9,0,0,9,0,9.0,9,0,0,9,0,16,0,0,0,9,0,9,0.0,0,0,9,0,9,9.0,0.0,,
Union Berlin,B. Leverkusen,1-1,https://www.besoccer.com/match/1-fc-union-berlin/bayer-leverkusen/202215546,2022,10,bundesliga,18,11,1,1,1,7,9,0,9,0,9,9,3.0,0,9,0,9,9,8,9,0,9,0,9,9,3.0,0,9,0,9,9,3.0,3.0,,
Stuttgart,Greuther Fürth,5-1,https://www.besoccer.com/match/stuttgart/greuther-furth/202215547,2022,10,bundesliga,18,11,0,5,1,5,27,9,0,0,45,9,9.0,9,0,0,45,9,18,0,0,0,9,9,45,0.0,0,0,9,9,45,9.0,0.0,,
FC Augsburg,Hoffenheim,0-4,https://www.besoccer.com/match/fc-augsburg/tsg-1899-hoffenheim/202215549,2022,10,bundesliga,18,11,2,0,4,17,0,0,0,9,0,36,0.0,0,0,9,0,36,3,27,9,0,0,36,0,9.0,9,0,0,36,0,0.0,9.0,,
