Home_Team,Away_Team,Result,Link,Season,Round,League
Preston North End,Hull City,1-4,https://www.besoccer.com/match/preston-north-end/hull-city/202212869,2022,12,championship
Queens Park Rangers,Millwall,1-1,https://www.besoccer.com/match/queens-park-rangers-fc/millwall-fc/202212870,2022,12,championship
Stoke City,Reading,3-2,https://www.besoccer.com/match/stoke-city/reading-fc/202212872,2022,12,championship
Sheffield United,Birmingham City,0-1,https://www.besoccer.com/match/sheffield-united/birmingham-city-fc/202212871,2022,12,championship
Fulham,Middlesbrough,1-1,https://www.besoccer.com/match/fulham/middlesbrough-fc/202212867,2022,12,championship
Coventry City,Nottingham Forest,2-1,https://www.besoccer.com/match/coventry-city/nottingham-forest-fc/202212865,2022,12,championship
AFC Bournemouth,West Bromwich Albion,2-2,https://www.besoccer.com/match/afc-bournemouth/west-bromwich/202212861,2022,13,championship
Blackburn Rovers,Swansea City,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/swansea-city-afc/202212862,2022,13,championship
Bristol City,Blackpool,1-1,https://www.besoccer.com/match/bristol-city-fc/blackpool-fc/202212863,2022,13,championship
Cardiff City,Barnsley,1-1,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202212864,2022,13,championship
Derby County,Huddersfield Town,1-1,https://www.besoccer.com/match/derby-county-fc/huddersfield-town-fc/202212866,2022,13,championship
Luton Town,Peterborough United,3-0,https://www.besoccer.com/match/luton-town-fc/peterborough-u/202212868,2022,13,championship
Preston North End,Hull City,1-4,https://www.besoccer.com/match/preston-north-end/hull-city/202212869,2022,13,championship
Queens Park Rangers,Millwall,1-1,https://www.besoccer.com/match/queens-park-rangers-fc/millwall-fc/202212870,2022,13,championship
Stoke City,Reading,3-2,https://www.besoccer.com/match/stoke-city/reading-fc/202212872,2022,13,championship
Sheffield United,Birmingham City,0-1,https://www.besoccer.com/match/sheffield-united/birmingham-city-fc/202212871,2022,13,championship
Fulham,Middlesbrough,1-1,https://www.besoccer.com/match/fulham/middlesbrough-fc/202212867,2022,13,championship
Coventry City,Nottingham Forest,2-1,https://www.besoccer.com/match/coventry-city/nottingham-forest-fc/202212865,2022,13,championship
AFC Bournemouth,West Bromwich Albion,2-2,https://www.besoccer.com/match/afc-bournemouth/west-bromwich/202212861,2022,14,championship
Blackburn Rovers,Swansea City,2-1,https://www.besoccer.com/match/blackburn-rovers-fc/swansea-city-afc/202212862,2022,14,championship
Bristol City,Blackpool,1-1,https://www.besoccer.com/match/bristol-city-fc/blackpool-fc/202212863,2022,14,championship
Cardiff City,Barnsley,1-1,https://www.besoccer.com/match/cardiff-city-fc/barnsley-fc/202212864,2022,14,championship
Derby County,Huddersfield Town,1-1,https://www.besoccer.com/match/derby-county-fc/huddersfield-town-fc/202212866,2022,14,championship
Luton Town,Peterborough United,3-0,https://www.besoccer.com/match/luton-town-fc/peterborough-u/202212868,2022,14,championship
